SuburbId,PostalCode,Suburb,Latitude,Longitude
1,NULL,NULL,NULL,NULL
2,2850,Aarons Pass,-32.863277,149.803751
3,6280,Abba River,-33.684878,115.463341
4,6280,Abbey,-33.660771,115.258627
5,3737,Abbeyard,-36.976415,146.782515
6,4613,Abbeywood,-26.106878,151.628800
7,2176,Abbotsbury,-33.877538,150.867768
8,4670,Abbotsford,-24.843687,152.024909
9,7315,Abbotsham,-41.211306,146.175577
10,8006,Abeckett Street,-37.809696,144.959314
11,7112,Abels Bay,-43.233330,147.098032
12,4627,Abercorn,-25.136637,151.129347
13,2795,Abercrombie River,-33.911806,149.332781
14,2325,Aberdare,-32.844200,151.376514
15,2359,Aberdeen,-29.996058,151.080554
16,3040,Aberfeldie,-37.756690,144.896259
17,3825,Aberfeldy,-37.696566,146.364064
18,2350,Aberfoyle,-30.240605,152.012929
19,5159,Aberfoyle Park,-35.076282,138.593723
20,2320,Aberglasslyn,-32.694656,151.534607
21,4850,Abergowrie,-18.474994,145.885791
22,2326,Abermain,-32.810815,151.428668
23,2325,Abernethy,-32.883242,151.396677
24,4871,Abingdon Downs,-17.608738,143.185168
25,2350,Abington,-30.326739,151.240618
26,2476,Acacia Creek,-28.373331,152.320879
27,2763,Acacia Gardens,-33.730077,150.906502
28,7306,Acacia Hills,-41.280491,146.324953
29,2476,Acacia Plateau,-28.381072,152.368571
30,4110,Acacia Ridge,-27.589633,153.027870
31,3714,Acheron,-37.252433,145.702015
32,4401,Acland,-27.303702,151.691102
33,7320,Acton,-41.070069,145.893987
34,7170,Acton Park,-42.865743,147.469888
35,3833,Ada,-37.840870,145.849688
36,2629,Adaminaby,-35.997349,148.769744
37,3984,Adams Estate,-38.323843,145.539805
38,2289,Adamstown,-32.932538,151.726250
39,2289,Adamstown Heights,-32.950984,151.717695
40,6375,Adamsvale,-32.249413,117.724850
41,4343,Adare,-27.511922,152.296235
42,4474,Adavale,-25.909385,144.598632
43,3352,Addington,-37.384464,143.672506
44,5001,Adelaide,-35.120097,139.273782
45,5950,Adelaide Airport,-34.947669,138.531617
46,3465,Adelaide Lead,-37.074671,143.677358
47,4703,Adelaide Park,-23.114684,150.696731
48,846,Adelaide River,-13.226806,131.098416
49,5005,Adelaide University,-34.919398,138.603510
50,2729,Adelong,-35.307947,148.063682
51,2727,Adjungbilly,-35.081463,148.409920
52,4211,Advancetown,-28.033052,153.279625
53,7150,Adventure Bay,-43.355794,147.326117
54,4870,Aeroglen,-16.883938,145.746732
55,2474,Afterlee,-28.593876,152.825754
56,5558,Agery,-34.156899,137.742805
57,3962,Agnes,-38.670149,146.396151
58,2753,Agnes Banks,-33.618877,150.707372
59,4677,Agnes Water,-24.212505,151.903352
60,3393,Ailsa,-36.331465,142.363833
61,2602,Ainslie,-35.262153,149.145893
62,4807,Airdmillan,-19.546861,147.443697
63,2560,Airds,-34.084468,150.829041
64,3237,Aire Valley,-38.693169,143.564483
65,3231,Aireys Inlet,-38.459435,144.106892
